Data Set 1:Time(s),Data Set 1:Illuminance(lux),Data Set 1:615 nm,Data Set 1:525 nm,Data Set 1:465 nm,Data Set 2:Time(s),Data Set 2:Illuminance(lux),Data Set 2:615 nm,Data Set 2:525 nm,Data Set 2:465 nm,Data Set 3:Time(s),Data Set 3:Illuminance(lux),Data Set 3:615 nm,Data Set 3:525 nm,Data Set 3:465 nm,Data Set 4:Time(s),Data Set 4:Illuminance(lux),Data Set 4:615 nm,Data Set 4:525 nm,Data Set 4:465 nm,Data Set 5:Time(s),Data Set 5:Illuminance(lux),Data Set 5:615 nm,Data Set 5:525 nm,Data Set 5:465 nm,Data Set 6:Time(s),Data Set 6:Illuminance(lux),Data Set 6:615 nm,Data Set 6:525 nm,Data Set 6:465 nm,Data Set 7:Time(s),Data Set 7:Illuminance(lux),Data Set 7:615 nm,Data Set 7:525 nm,Data Set 7:465 nm
,,,,,5.40,,39.294689,41.383518,34.231285,,,,,,,,,,,,,,,,,,,,,5.40,,0.000000,0.840274,3.348712
,,,,,5.45,,39.294689,41.383518,34.231285,,,,,,,,,,,,,,,,,,,,,5.45,,0.000000,0.840274,3.348712
,,,,,5.50,,37.139282,41.803654,33.115044,,,,,,,,,,,,,,,,,,,,,5.50,,0.000000,0.840274,3.348712
,,,,,5.55,,37.139282,41.803654,33.115044,,,,,,,,,,,,,,,,,,,,,5.55,,0.000000,0.840274,3.348712
,,,,,5.60,,27.357061,32.560635,26.045542,,,,,,,,,,,,,,,,,,,,,5.60,,0.000000,0.840274,3.348712
,,,,,5.65,,27.357061,32.560635,26.045542,,,,,,,,,,,,,,,,,,,,,5.65,,0.000000,0.840274,3.348712
,,,,,5.70,,31.004671,36.131802,28.650099,,,,,,,,,,,,,,,,,,,,,5.70,,0.000000,0.630206,4.837029
,,,,,5.75,,31.004671,36.131802,28.650099,,,,,,,,,,,,,,,,,,,,,5.75,,0.000000,0.630206,4.837029
,,,,,5.80,,30.507267,35.501595,29.394253,,,,,,,,,,,,,,,,,,,,,5.80,,0.000000,0.630206,4.837029
,,,,,5.85,,30.507267,35.501595,29.394253,,,,,,,,,,,,,,,,,,,,,5.85,,0.000000,0.630206,4.837029
,,,,,5.90,,31.999470,37.392212,30.882566,,,,,,,,,,,,,,,,,,,,,5.90,,0.000000,0.630206,4.837029
,,,,,5.95,,31.999470,37.392212,30.882566,,,,,,,,,,,,,,,,,,,,,5.95,,0.000000,0.630206,4.837029
,,,,,6.00,,25.864859,30.670017,24.557226,,,,,,,,,,,,,,,,,,,,,6.00,,0.000000,0.420137,6.325346
,,,,,6.05,,25.864859,30.670017,24.557226,,,,,,,,,,,,,,,,,,,,,6.05,,0.000000,0.420137,6.325346
,,,,,6.10,,28.683462,33.190838,27.161776,,,,,,,,,,,,,,,,,,,,,6.10,,0.000000,0.420137,6.325346
,,,,,6.15,,28.683462,33.190838,27.161776,,,,,,,,,,,,,,,,,,,,,6.15,,0.000000,0.420137,6.325346
,,,,,6.20,,29.512465,34.241180,27.161776,,,,,,,,,,,,,,,,,,,,,6.20,,0.000000,1.260412,5.953267
,,,,,6.25,,29.512465,34.241180,27.161776,,,,,,,,,,,,,,,,,,,,,6.25,,0.000000,1.260412,5.953267
,,,,,6.30,,25.864859,30.670017,24.557226,,,,,,,,,,,,,,,,,,,,,6.30,,0.000000,1.260412,5.953267
,,,,,6.35,,25.864859,30.670017,24.557226,,,,,,,,,,,,,,,,,,,,,6.35,,0.000000,1.260412,5.953267
,,,,,6.40,,25.201658,30.880087,24.929306,,,,,,,,,,,,,,,,,,,,,6.40,,0.000000,1.050343,7.441583
,,,,,6.45,,25.201658,30.880087,24.929306,,,,,,,,,,,,,,,,,,,,,6.45,,0.000000,1.050343,7.441583
,,,,,6.50,,27.688663,35.081459,26.789701,,,,,,,,,,,,,,,,,,,,,6.50,,0.000000,1.050343,7.441583
,,,,,6.55,,27.688663,35.081459,26.789701,,,,,,,,,,,,,,,,,,,,,6.55,,0.000000,1.050343,7.441583
,,,,,6.60,,29.512465,37.392212,29.022171,,,,,,,,,,,,,,,,,,,,,6.60,,0.000000,0.840274,8.929900
,,,,,6.65,,29.512465,37.392212,29.022171,,,,,,,,,,,,,,,,,,,,,6.65,,0.000000,0.840274,8.929900
,,,,,6.70,,28.351864,35.921734,28.278017,,,,,,,,,,,,,,,,,,,,,6.70,,0.000000,1.680549,8.557820
,,,,,6.75,,28.351864,35.921734,28.278017,,,,,,,,,,,,,,,,,,,,,6.75,,0.000000,1.680549,8.557820
,,,,,6.80,,15.253633,20.376654,13.766928,,,,,,,,,,,,,,,,,,,,,6.80,,0.000000,0.840274,8.929900
,,,,,6.85,,15.253633,20.376654,13.766928,,,,,,,,,,,,,,,,,,,,,6.85,,0.000000,0.840274,8.929900
,,,,,6.90,,13.595630,13.024253,8.185740,,,,,,,,,,,,,,,,,,,,,6.90,,0.000000,1.470480,10.046138
,,,,,6.95,,13.595630,13.024253,8.185740,,,,,,,,,,,,,,,,,,,,,6.95,,0.000000,1.470480,10.046138
,,,,,7.00,,12.269227,11.343705,5.209108,,,,,,,,,,,,,,,,,,,,,7.00,,0.000000,1.470480,10.046138
,,,,,7.05,,12.269227,11.343705,5.209108,,,,,,,,,,,,,,,,,,,,,7.05,,0.000000,1.470480,10.046138
